overall,metric,count,mean,median,std,iqr,q25,q75,improvement_rate,wilcoxon_p_value,n,p
,delta_expected_feasible_energy,10,-0.387686169024744,-0.2567231283825431,0.4062324618172233,0.7394425047854902,-0.8015763931358025,-0.06213388835031228,0.8,0.0068359375,9.0,0.3
,delta_feasible_energy_variance,10,-0.20528167410121623,-0.20219607954790048,0.1852685134887158,0.3247114688989121,-0.38086438536630884,-0.0561529164673967,0.9,0.0048828125,9.0,0.3
,delta_p_feas,10,0.03288327858691291,0.03796828257458415,0.016161446653814047,0.026170297540435802,0.019784981684400398,0.0459552792248362,1.0,0.0009765625,9.0,0.3
,delta_energy,10,-0.3737564351248665,-0.3474540768768237,0.1778574241727444,0.23178802212519523,-0.48661595696943716,-0.25482793484424193,1.0,0.0009765625,9.0,0.5
,delta_energy_variance,10,-0.32205137713499227,-0.34218428738227036,0.1309473529940185,0.1959258729539507,-0.41753718361744363,-0.22161131066349293,1.0,0.0009765625,9.0,0.5
,delta_p_ground,10,0.29765374521701177,0.27362476875755404,0.1398991588095699,0.1533829191530125,0.21321903526044694,0.36660195441345944,1.0,0.0009765625,9.0,0.5
,delta_expected_feasible_energy,10,-0.32182572336321796,-0.30328696291644475,0.17003021857012407,0.22139125871214935,-0.43284623210398004,-0.2114549733918307,1.0,0.0009765625,9.0,0.5
,delta_feasible_energy_variance,10,-0.25758374693298014,-0.2821601373042248,0.11364829289983598,0.1697675504341951,-0.3452961474083299,-0.1755285969741348,1.0,0.0009765625,9.0,0.5
,delta_p_feas,10,0.03989930340434951,0.0415210691137778,0.008178631149156372,0.014306614885830474,0.033046636226123825,0.0473532511119543,1.0,0.0009765625,9.0,0.5
,delta_energy,10,-0.2681284529707564,-0.28892799409853165,0.12711203831958615,0.17933270642867893,-0.3698558443743729,-0.19052313794569398,1.0,0.0009765625,9.0,0.7
,delta_energy_variance,10,-0.25389660788185503,-0.2518831729768606,0.12841464326444402,0.1619235242049315,-0.34164110786498136,-0.17971758366004986,1.0,0.0009765625,9.0,0.7
,delta_p_ground,10,0.21201398116973885,0.21911423509073996,0.09586746610974839,0.1293491518510022,0.16364385284316046,0.2929930046941627,1.0,0.0009765625,9.0,0.7
,delta_expected_feasible_energy,10,-0.23076240025705652,-0.258756261256603,0.11475859399197462,0.16633986971770584,-0.31667991051787675,-0.1503400408001709,1.0,0.0009765625,9.0,0.7
,delta_feasible_energy_variance,10,-0.20580951334079037,-0.19862071475844034,0.10839576977156387,0.12603061813353966,-0.270354486262966,-0.14432386812942632,0.9,0.001953125,9.0,0.7
,delta_p_feas,10,0.02874165092488975,0.02805861114992615,0.01250566698836997,0.013971541196352175,0.02503972220089435,0.039011263397246525,1.0,0.0009765625,9.0,0.7
,delta_energy,10,-0.6376982390710579,-0.4785258384634752,0.4120124953837833,0.27455091327066894,-0.6343636481203643,-0.35981273484969534,1.0,0.0009765625,12.0,0.1
,delta_energy_variance,10,-0.47595696726808756,-0.3415497965638358,0.3068515748661185,0.2512326882548845,-0.5118291816418381,-0.2605964933869536,1.0,0.0009765625,12.0,0.1
,delta_p_ground,10,0.38452073013862004,0.3084808609356202,0.23472236180571857,0.255212138324619,0.20087793470366433,0.4560900730282833,1.0,0.0009765625,12.0,0.1
